problem,algo,run,cost,feasible
Tension/Compression Spring,GWO,8,0.012730,1
Tension/Compression Spring,GWO,9,0.013058,1
Tension/Compression Spring,GWO,10,0.012733,1
Tension/Compression Spring,GWO,11,0.012895,1
Tension/Compression Spring,GWO,12,0.012885,1
Tension/Compression Spring,GWO,13,0.012679,1
Tension/Compression Spring,GWO,14,0.012816,1
Tension/Compression Spring,GWO,15,0.012730,1
Tension/Compression Spring,GWO,16,0.012688,1
Tension/Compression Spring,GWO,17,0.012727,1
Tension/Compression Spring,GWO,18,0.012733,1
Tension/Compression Spring,GWO,19,0.013078,1
Tension/Compression Spring,GWO,20,0.012733,1
Tension/Compression Spring,GWO,21,0.012734,1
Tension/Compression Spring,GWO,22,0.012712,1
Tension/Compression Spring,GWO,23,0.013318,1
Tension/Compression Spring,GWO,24,0.012946,1
Tension/Compression Spring,GWO,25,0.012726,1
Tension/Compression Spring,GWO,26,0.012693,1
Tension/Compression Spring,GWO,27,0.012881,1
Tension/Compression Spring,GWO,28,0.012734,1
Tension/Compression Spring,GWO,29,0.012729,1
Tension/Compression Spring,PSO,0,0.012719,1
Tension/Compression Spring,PSO,1,0.013196,1
Tension/Compression Spring,PSO,2,0.012665,1
Tension/Compression Spring,PSO,3,0.013075,1
Tension/Compression Spring,PSO,4,0.013038,1
Tension/Compression Spring,PSO,5,0.012719,1
Tension/Compression Spring,PSO,6,0.012689,1
Tension/Compression Spring,PSO,7,0.014705,1
Tension/Compression Spring,PSO,8,0.012954,1
Tension/Compression Spring,PSO,9,0.012691,1
Tension/Compression Spring,PSO,10,0.012719,1
Tension/Compression Spring,PSO,11,0.012865,1
Tension/Compression Spring,PSO,12,0.012738,1
Tension/Compression Spring,PSO,13,0.030455,1
Tension/Compression Spring,PSO,14,0.012992,1
Tension/Compression Spring,PSO,15,0.012719,1
Tension/Compression Spring,PSO,16,0.013003,1
Tension/Compression Spring,PSO,17,0.013651,1
Tension/Compression Spring,PSO,18,0.013085,1
Tension/Compression Spring,PSO,19,0.012697,1
Tension/Compression Spring,PSO,20,0.013407,1
Tension/Compression Spring,PSO,21,0.012705,1
Tension/Compression Spring,PSO,22,0.012752,1
Tension/Compression Spring,PSO,23,0.012818,1
Tension/Compression Spring,PSO,24,0.012705,1
Tension/Compression Spring,PSO,25,0.012719,1
Tension/Compression Spring,PSO,26,0.012778,1
Tension/Compression Spring,PSO,27,0.012772,1
Tension/Compression Spring,PSO,28,0.012763,1
Tension/Compression Spring,PSO,29,0.012794,1
Tension/Compression Spring,DE,0,0.012665,1
Tension/Compression Spring,DE,1,0.012687,1
Tension/Compression Spring,DE,2,0.012665,1
Tension/Compression Spring,DE,3,0.012665,1
Tension/Compression Spring,DE,4,0.012684,1
Tension/Compression Spring,DE,5,0.012665,1
